Statistic,Quarter,Sector,value
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices (Seasonally Adjusted),2007Q2,Gross domestic fixed capital formation - Dwellings,NA
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices (Seasonally Adjusted),2007Q2,Gross domestic fixed capital formation - Improvements,NA
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices (Seasonally Adjusted),2007Q2,Gross domestic fixed capital formation - Other Building and Construction,NA
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices (Seasonally Adjusted),2007Q2,Gross domestic fixed capital formation - Transfer Costs,NA
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices (Seasonally Adjusted),2007Q2,Gross Domestic Fixed Capital Formation - Machinery and Equipment excluding Aircraft related to Leasing,2774
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices (Seasonally Adjusted),2007Q2,Gross Domestic Fixed Capital Formation - Aircraft related to Leasing,NA
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices (Seasonally Adjusted),2007Q2,"Gross domestic fixed capital formation - All Building &Construction (including Dwellings, Improvements, Other B&C and Transfer Costs)",9934
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices (Seasonally Adjusted),2007Q2,Gross Domestic Fixed Capital Formation - Intangible Assets excluding R&D service imports and trade in IP,812
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices (Seasonally Adjusted),2007Q2,Gross Domestic Fixed Capital Formation - R&D service imports and trade in IP,NA
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices (Seasonally Adjusted),2007Q2,Value of Physical Changes in Stocks,425
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices (Seasonally Adjusted),2007Q2,Modified Final Domestic Demand,46717
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices (Seasonally Adjusted),2007Q2,Modified Total Domestic Demand,47142
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices (Seasonally Adjusted),2007Q3,Personal Expenditure on Consumer Goods and Services,25066
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices (Seasonally Adjusted),2007Q3,Net Expenditure by Central and Local Govt. on Current Goods and Services,8480
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices (Seasonally Adjusted),2007Q3,Modified Gross Domestic Fixed Capital Formation,12867
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices (Seasonally Adjusted),2007Q3,Gross domestic fixed capital formation - Dwellings,NA
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices (Seasonally Adjusted),2007Q3,Gross domestic fixed capital formation - Improvements,NA
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices (Seasonally Adjusted),2007Q3,Gross domestic fixed capital formation - Other Building and Construction,NA
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices (Seasonally Adjusted),2007Q3,Gross domestic fixed capital formation - Transfer Costs,NA
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices (Seasonally Adjusted),2007Q3,Gross Domestic Fixed Capital Formation - Machinery and Equipment excluding Aircraft related to Leasing,2161
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices (Seasonally Adjusted),2007Q3,Gross Domestic Fixed Capital Formation - Aircraft related to Leasing,NA
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices (Seasonally Adjusted),2007Q3,"Gross domestic fixed capital formation - All Building &Construction (including Dwellings, Improvements, Other B&C and Transfer Costs)",9696
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices (Seasonally Adjusted),2007Q3,Gross Domestic Fixed Capital Formation - Intangible Assets excluding R&D service imports and trade in IP,1011
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices (Seasonally Adjusted),2007Q3,Gross Domestic Fixed Capital Formation - R&D service imports and trade in IP,NA
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices (Seasonally Adjusted),2007Q3,Value of Physical Changes in Stocks,-517
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices (Seasonally Adjusted),2007Q3,Modified Final Domestic Demand,46413
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices (Seasonally Adjusted),2007Q3,Modified Total Domestic Demand,45896
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices (Seasonally Adjusted),2007Q4,Personal Expenditure on Consumer Goods and Services,25308
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices (Seasonally Adjusted),2007Q4,Net Expenditure by Central and Local Govt. on Current Goods and Services,8454
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices (Seasonally Adjusted),2007Q4,Modified Gross Domestic Fixed Capital Formation,13231
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices (Seasonally Adjusted),2007Q4,Gross domestic fixed capital formation - Dwellings,NA
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices (Seasonally Adjusted),2007Q4,Gross domestic fixed capital formation - Improvements,NA
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices (Seasonally Adjusted),2007Q4,Gross domestic fixed capital formation - Other Building and Construction,NA
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices (Seasonally Adjusted),2007Q4,Gross domestic fixed capital formation - Transfer Costs,NA
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices (Seasonally Adjusted),2007Q4,Gross Domestic Fixed Capital Formation - Machinery and Equipment excluding Aircraft related to Leasing,2425
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices (Seasonally Adjusted),2007Q4,Gross Domestic Fixed Capital Formation - Aircraft related to Leasing,NA
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices (Seasonally Adjusted),2007Q4,"Gross domestic fixed capital formation - All Building &Construction (including Dwellings, Improvements, Other B&C and Transfer Costs)",9638
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices (Seasonally Adjusted),2007Q4,Gross Domestic Fixed Capital Formation - Intangible Assets excluding R&D service imports and trade in IP,1167
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices (Seasonally Adjusted),2007Q4,Gross Domestic Fixed Capital Formation - R&D service imports and trade in IP,NA
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices (Seasonally Adjusted),2007Q4,Value of Physical Changes in Stocks,1114
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices (Seasonally Adjusted),2007Q4,Modified Final Domestic Demand,46993
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices (Seasonally Adjusted),2007Q4,Modified Total Domestic Demand,48106
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices (Seasonally Adjusted),2008Q1,Personal Expenditure on Consumer Goods and Services,25685
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices (Seasonally Adjusted),2008Q1,Net Expenditure by Central and Local Govt. on Current Goods and Services,8415
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices (Seasonally Adjusted),2008Q1,Modified Gross Domestic Fixed Capital Formation,14158
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices (Seasonally Adjusted),2008Q1,Gross domestic fixed capital formation - Dwellings,NA
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices (Seasonally Adjusted),2008Q1,Gross domestic fixed capital formation - Improvements,NA
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices (Seasonally Adjusted),2008Q1,Gross domestic fixed capital formation - Other Building and Construction,NA
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices (Seasonally Adjusted),2008Q1,Gross domestic fixed capital formation - Transfer Costs,NA
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices (Seasonally Adjusted),2008Q1,Gross Domestic Fixed Capital Formation - Machinery and Equipment excluding Aircraft related to Leasing,2928
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices (Seasonally Adjusted),2008Q1,Gross Domestic Fixed Capital Formation - Aircraft related to Leasing,NA
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices (Seasonally Adjusted),2008Q1,"Gross domestic fixed capital formation - All Building &Construction (including Dwellings, Improvements, Other B&C and Transfer Costs)",10106
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices (Seasonally Adjusted),2008Q1,Gross Domestic Fixed Capital Formation - Intangible Assets excluding R&D service imports and trade in IP,1124
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices (Seasonally Adjusted),2008Q1,Gross Domestic Fixed Capital Formation - R&D service imports and trade in IP,NA
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices (Seasonally Adjusted),2008Q1,Value of Physical Changes in Stocks,-373
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices (Seasonally Adjusted),2008Q1,Modified Final Domestic Demand,48258
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices (Seasonally Adjusted),2008Q1,Modified Total Domestic Demand,47886
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices (Seasonally Adjusted),2008Q2,Personal Expenditure on Consumer Goods and Services,25090
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices (Seasonally Adjusted),2008Q2,Net Expenditure by Central and Local Govt. on Current Goods and Services,8467
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices (Seasonally Adjusted),2008Q2,Modified Gross Domestic Fixed Capital Formation,12503
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices (Seasonally Adjusted),2008Q2,Gross domestic fixed capital formation - Dwellings,NA
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices (Seasonally Adjusted),2008Q2,Gross domestic fixed capital formation - Improvements,NA
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices (Seasonally Adjusted),2008Q2,Gross domestic fixed capital formation - Other Building and Construction,NA
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices (Seasonally Adjusted),2008Q2,Gross domestic fixed capital formation - Transfer Costs,NA
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices (Seasonally Adjusted),2008Q2,Gross Domestic Fixed Capital Formation - Machinery and Equipment excluding Aircraft related to Leasing,1869
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices (Seasonally Adjusted),2008Q2,Gross Domestic Fixed Capital Formation - Aircraft related to Leasing,NA
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices (Seasonally Adjusted),2008Q2,"Gross domestic fixed capital formation - All Building &Construction (including Dwellings, Improvements, Other B&C and Transfer Costs)",9489
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices (Seasonally Adjusted),2008Q2,Gross Domestic Fixed Capital Formation - Intangible Assets excluding R&D service imports and trade in IP,1145
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices (Seasonally Adjusted),2008Q2,Gross Domestic Fixed Capital Formation - R&D service imports and trade in IP,NA
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices (Seasonally Adjusted),2008Q2,Value of Physical Changes in Stocks,519
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices (Seasonally Adjusted),2008Q2,Modified Final Domestic Demand,46059
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices (Seasonally Adjusted),2008Q2,Modified Total Domestic Demand,46578
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices (Seasonally Adjusted),2008Q3,Personal Expenditure on Consumer Goods and Services,25205
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices (Seasonally Adjusted),2008Q3,Net Expenditure by Central and Local Govt. on Current Goods and Services,8413
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices (Seasonally Adjusted),2008Q3,Modified Gross Domestic Fixed Capital Formation,12381
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices (Seasonally Adjusted),2008Q3,Gross domestic fixed capital formation - Dwellings,NA
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices (Seasonally Adjusted),2008Q3,Gross domestic fixed capital formation - Improvements,NA
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices (Seasonally Adjusted),2008Q3,Gross domestic fixed capital formation - Other Building and Construction,NA
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices (Seasonally Adjusted),2008Q3,Gross domestic fixed capital formation - Transfer Costs,NA
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices (Seasonally Adjusted),2008Q3,Gross Domestic Fixed Capital Formation - Machinery and Equipment excluding Aircraft related to Leasing,2473
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices (Seasonally Adjusted),2008Q3,Gross Domestic Fixed Capital Formation - Aircraft related to Leasing,NA
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices (Seasonally Adjusted),2008Q3,"Gross domestic fixed capital formation - All Building &Construction (including Dwellings, Improvements, Other B&C and Transfer Costs)",8819
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices (Seasonally Adjusted),2008Q3,Gross Domestic Fixed Capital Formation - Intangible Assets excluding R&D service imports and trade in IP,1089
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices (Seasonally Adjusted),2008Q3,Gross Domestic Fixed Capital Formation - R&D service imports and trade in IP,NA
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices (Seasonally Adjusted),2008Q3,Value of Physical Changes in Stocks,54
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices (Seasonally Adjusted),2008Q3,Modified Final Domestic Demand,46000
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices (Seasonally Adjusted),2008Q3,Modified Total Domestic Demand,46053
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices (Seasonally Adjusted),2008Q4,Personal Expenditure on Consumer Goods and Services,25083
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices (Seasonally Adjusted),2008Q4,Net Expenditure by Central and Local Govt. on Current Goods and Services,8432
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices (Seasonally Adjusted),2008Q4,Modified Gross Domestic Fixed Capital Formation,10482
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices (Seasonally Adjusted),2008Q4,Gross domestic fixed capital formation - Dwellings,NA
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices (Seasonally Adjusted),2008Q4,Gross domestic fixed capital formation - Improvements,NA
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices (Seasonally Adjusted),2008Q4,Gross domestic fixed capital formation - Other Building and Construction,NA
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices (Seasonally Adjusted),2008Q4,Gross domestic fixed capital formation - Transfer Costs,NA
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices (Seasonally Adjusted),2008Q4,Gross Domestic Fixed Capital Formation - Machinery and Equipment excluding Aircraft related to Leasing,1714
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices (Seasonally Adjusted),2008Q4,Gross Domestic Fixed Capital Formation - Aircraft related to Leasing,NA
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices (Seasonally Adjusted),2008Q4,"Gross domestic fixed capital formation - All Building &Construction (including Dwellings, Improvements, Other B&C and Transfer Costs)",7739
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices (Seasonally Adjusted),2008Q4,Gross Domestic Fixed Capital Formation - Intangible Assets excluding R&D service imports and trade in IP,1029
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices (Seasonally Adjusted),2008Q4,Gross Domestic Fixed Capital Formation - R&D service imports and trade in IP,NA
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices (Seasonally Adjusted),2008Q4,Value of Physical Changes in Stocks,-394
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices (Seasonally Adjusted),2008Q4,Modified Final Domestic Demand,43997
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices (Seasonally Adjusted),2008Q4,Modified Total Domestic Demand,43603
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices (Seasonally Adjusted),2009Q1,Personal Expenditure on Consumer Goods and Services,24421
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices (Seasonally Adjusted),2009Q1,Net Expenditure by Central and Local Govt. on Current Goods and Services,8627
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices (Seasonally Adjusted),2009Q1,Modified Gross Domestic Fixed Capital Formation,9775
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices (Seasonally Adjusted),2009Q1,Gross domestic fixed capital formation - Dwellings,NA
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices (Seasonally Adjusted),2009Q1,Gross domestic fixed capital formation - Improvements,NA
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices (Seasonally Adjusted),2009Q1,Gross domestic fixed capital formation - Other Building and Construction,NA
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices (Seasonally Adjusted),2009Q1,Gross domestic fixed capital formation - Transfer Costs,NA
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices (Seasonally Adjusted),2009Q1,Gross Domestic Fixed Capital Formation - Machinery and Equipment excluding Aircraft related to Leasing,1578
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices (Seasonally Adjusted),2009Q1,Gross Domestic Fixed Capital Formation - Aircraft related to Leasing,NA
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices (Seasonally Adjusted),2009Q1,"Gross domestic fixed capital formation - All Building &Construction (including Dwellings, Improvements, Other B&C and Transfer Costs)",7163
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices (Seasonally Adjusted),2009Q1,Gross Domestic Fixed Capital Formation - Intangible Assets excluding R&D service imports and trade in IP,1033
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices (Seasonally Adjusted),2009Q1,Gross Domestic Fixed Capital Formation - R&D service imports and trade in IP,NA
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices (Seasonally Adjusted),2009Q1,Value of Physical Changes in Stocks,-357
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices (Seasonally Adjusted),2009Q1,Modified Final Domestic Demand,42822
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices (Seasonally Adjusted),2009Q1,Modified Total Domestic Demand,42465
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices (Seasonally Adjusted),2009Q2,Personal Expenditure on Consumer Goods and Services,24262
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices (Seasonally Adjusted),2009Q2,Net Expenditure by Central and Local Govt. on Current Goods and Services,7973
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices (Seasonally Adjusted),2009Q2,Modified Gross Domestic Fixed Capital Formation,9387
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices (Seasonally Adjusted),2009Q2,Gross domestic fixed capital formation - Dwellings,NA
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices (Seasonally Adjusted),2009Q2,Gross domestic fixed capital formation - Improvements,NA
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices (Seasonally Adjusted),2009Q2,Gross domestic fixed capital formation - Other Building and Construction,NA
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices (Seasonally Adjusted),2009Q2,Gross domestic fixed capital formation - Transfer Costs,NA
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices (Seasonally Adjusted),2009Q2,Gross Domestic Fixed Capital Formation - Machinery and Equipment excluding Aircraft related to Leasing,1728
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices (Seasonally Adjusted),2009Q2,Gross Domestic Fixed Capital Formation - Aircraft related to Leasing,NA
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices (Seasonally Adjusted),2009Q2,"Gross domestic fixed capital formation - All Building &Construction (including Dwellings, Improvements, Other B&C and Transfer Costs)",6584
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices (Seasonally Adjusted),2009Q2,Gross Domestic Fixed Capital Formation - Intangible Assets excluding R&D service imports and trade in IP,1075
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices (Seasonally Adjusted),2009Q2,Gross Domestic Fixed Capital Formation - R&D service imports and trade in IP,NA
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices (Seasonally Adjusted),2009Q2,Value of Physical Changes in Stocks,51
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices (Seasonally Adjusted),2009Q2,Modified Final Domestic Demand,41622
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices (Seasonally Adjusted),2009Q2,Modified Total Domestic Demand,41673
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices (Seasonally Adjusted),2009Q3,Personal Expenditure on Consumer Goods and Services,24113
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices (Seasonally Adjusted),2009Q3,Net Expenditure by Central and Local Govt. on Current Goods and Services,7939
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices (Seasonally Adjusted),2009Q3,Modified Gross Domestic Fixed Capital Formation,8752
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices (Seasonally Adjusted),2009Q3,Gross domestic fixed capital formation - Dwellings,NA
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices (Seasonally Adjusted),2009Q3,Gross domestic fixed capital formation - Improvements,NA
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices (Seasonally Adjusted),2009Q3,Gross domestic fixed capital formation - Other Building and Construction,NA
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices (Seasonally Adjusted),2009Q3,Gross domestic fixed capital formation - Transfer Costs,NA
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices (Seasonally Adjusted),2009Q3,Gross Domestic Fixed Capital Formation - Machinery and Equipment excluding Aircraft related to Leasing,1826
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices (Seasonally Adjusted),2009Q3,Gross Domestic Fixed Capital Formation - Aircraft related to Leasing,NA
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices (Seasonally Adjusted),2009Q3,"Gross domestic fixed capital formation - All Building &Construction (including Dwellings, Improvements, Other B&C and Transfer Costs)",5944
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices (Seasonally Adjusted),2009Q3,Gross Domestic Fixed Capital Formation - Intangible Assets excluding R&D service imports and trade in IP,982
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices (Seasonally Adjusted),2009Q3,Gross Domestic Fixed Capital Formation - R&D service imports and trade in IP,NA
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices (Seasonally Adjusted),2009Q3,Value of Physical Changes in Stocks,-304
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices (Seasonally Adjusted),2009Q3,Modified Final Domestic Demand,40804
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices (Seasonally Adjusted),2009Q3,Modified Total Domestic Demand,40500
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices (Seasonally Adjusted),2009Q4,Personal Expenditure on Consumer Goods and Services,24163
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices (Seasonally Adjusted),2009Q4,Net Expenditure by Central and Local Govt. on Current Goods and Services,7924
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices (Seasonally Adjusted),2009Q4,Modified Gross Domestic Fixed Capital Formation,7837
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices (Seasonally Adjusted),2009Q4,Gross domestic fixed capital formation - Dwellings,NA
Modified Total Domestic Demand and Components of Modified Gross Domestic Fixed Capital Formation at Constant Market Prices (Seasonally Adjusted),2009Q4,Gross domestic fixed capital formation - Improvements,NA
