Statistic,Quarter,Item,value
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2019Q1,Memo: Net derivative flows on debt interest swap contracts,-38
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2019Q1,General Government transactions - Seasonally Adjusted Revenue - ESA2010 Code (TR),21111
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2019Q1,General Government transactions - Seasonally Adjusted Expenditure - ESA2010 Code (TE),21613
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2019Q1,General Government Seasonally Adjusted Surplus/Deficit - ESA2010 Code (B9),-502
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2019Q2,General Government transactions - Revenue - ESA2010 Code (TR),21714
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2019Q2,General Government transactions - Revenue - Taxes and social contributions - ESA2010 Code ( D2 + D5 + D91 + D61),19025
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2019Q2,General Government transactions - Revenue - Taxes - ESA2010 Code (D2 + D5 + D91),15136
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2019Q2,General Government transactions - Revenue - Social contributions - ESA2010 Code (D61),3889
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2019Q2,General Government transactions - Revenue - Sales of goods and services - ESA2010 Code (P10),1226
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2019Q2,General Government transactions - Revenue - Investment income - ESA2010 Code (D4),1227
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2019Q2,General Government transactions - Revenue - Current transfer revenue (excluding taxes) - ESA2010 Code (D7),122
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2019Q2,General Government transactions - Revenue - Capital transfer revenue (excluding taxes) - ESA2010 Code (D9N),113
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2019Q2,General Government transactions - Expenditure - ESA2010 Code (TE),20822
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2019Q2,General Government transactions - Expenditure - Expense - ESA2010 Code (Expense),20031
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2019Q2,General Government transactions - Expenditure - Compensation of employees - ESA2010 Code (D1),6015
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2019Q2,General Government transactions - Expenditure - Use of goods and services plus taxes payable - ESA2010 Code (P2 + D5 + D29),3040
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2019Q2,General Government transactions - Expenditure - Depreciation (consumption of fixed capital) - ESA2010 Code (P51c),1182
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2019Q2,General Government transactions - Expenditure - Interest (excluding FISIM) - ESA2010 Code (D41),1225
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2019Q2,General Government transactions - Expenditure - Subsidies - ESA2010 Code (D3),400
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2019Q2,General Government transactions - Expenditure - Social benefits - ESA2010 Code (D62 + D632),7241
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2019Q2,General Government transactions - Expenditure - Other current transfers - ESA2010 Code (D7),572
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2019Q2,General Government transactions - Expenditure - Capital transfers - ESA2010 Code (D9),356
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2019Q2,Net operating balance - ESA2010 Code  (NOB),1683
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2019Q2,Net acquisition of non-financial assets - ESA2010 Code (P5 + NP - P51c),791
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2019Q2,General Government Surplus/Deficit - ESA2010 Code (B9),891
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2019Q2,Net acquisition of financial assets,-589
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2019Q2,Net acquisition of financial assets - Debt instruments - ESA2010 Code (F2 + F3 + F4),1846
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2019Q2,Net acquisition of financial assets - Equity and Investment Fund Shares - ESA2010 Code (F5),-2464
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2019Q2,Net acquisition of financial assets - Other financial assets - ESA2010 Code (F6 + F7 + F8),29
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2019Q2,Net incurrence of liabilities,-1367
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2019Q2,Net incurrence of liabilities - Debt instruments - ESA2010 Code (F2 + F3 + F4),-1476
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2019Q2,Net incurrence of liabilities - Other liabilities - ESA2010 Code (F5 + F6 + F7 + F8),109
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2019Q2,Memo: Net derivative flows on debt interest swap contracts,-37
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2019Q2,General Government transactions - Seasonally Adjusted Revenue - ESA2010 Code (TR),22037
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2019Q2,General Government transactions - Seasonally Adjusted Expenditure - ESA2010 Code (TE),21169
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2019Q2,General Government Seasonally Adjusted Surplus/Deficit - ESA2010 Code (B9),868
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2019Q3,General Government transactions - Revenue - ESA2010 Code (TR),20579
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2019Q3,General Government transactions - Revenue - Taxes and social contributions - ESA2010 Code ( D2 + D5 + D91 + D61),18890
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2019Q3,General Government transactions - Revenue - Taxes - ESA2010 Code (D2 + D5 + D91),15063
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2019Q3,General Government transactions - Revenue - Social contributions - ESA2010 Code (D61),3827
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2019Q3,General Government transactions - Revenue - Sales of goods and services - ESA2010 Code (P10),1234
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2019Q3,General Government transactions - Revenue - Investment income - ESA2010 Code (D4),111
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2019Q3,General Government transactions - Revenue - Current transfer revenue (excluding taxes) - ESA2010 Code (D7),221
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2019Q3,General Government transactions - Revenue - Capital transfer revenue (excluding taxes) - ESA2010 Code (D9N),124
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2019Q3,General Government transactions - Expenditure - ESA2010 Code (TE),21617
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2019Q3,General Government transactions - Expenditure - Expense - ESA2010 Code (Expense),20944
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2019Q3,General Government transactions - Expenditure - Compensation of employees - ESA2010 Code (D1),5837
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2019Q3,General Government transactions - Expenditure - Use of goods and services plus taxes payable - ESA2010 Code (P2 + D5 + D29),3436
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2019Q3,General Government transactions - Expenditure - Depreciation (consumption of fixed capital) - ESA2010 Code (P51c),1182
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2019Q3,General Government transactions - Expenditure - Interest (excluding FISIM) - ESA2010 Code (D41),1117
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2019Q3,General Government transactions - Expenditure - Subsidies - ESA2010 Code (D3),422
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2019Q3,General Government transactions - Expenditure - Social benefits - ESA2010 Code (D62 + D632),7850
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2019Q3,General Government transactions - Expenditure - Other current transfers - ESA2010 Code (D7),858
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2019Q3,General Government transactions - Expenditure - Capital transfers - ESA2010 Code (D9),242
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2019Q3,Net operating balance - ESA2010 Code  (NOB),-365
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2019Q3,Net acquisition of non-financial assets - ESA2010 Code (P5 + NP - P51c),673
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2019Q3,General Government Surplus/Deficit - ESA2010 Code (B9),-1038
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2019Q3,Net acquisition of financial assets,-782
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2019Q3,Net acquisition of financial assets - Debt instruments - ESA2010 Code (F2 + F3 + F4),-609
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2019Q3,Net acquisition of financial assets - Equity and Investment Fund Shares - ESA2010 Code (F5),-87
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2019Q3,Net acquisition of financial assets - Other financial assets - ESA2010 Code (F6 + F7 + F8),-86
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2019Q3,Net incurrence of liabilities,-617
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2019Q3,Net incurrence of liabilities - Debt instruments - ESA2010 Code (F2 + F3 + F4),-718
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2019Q3,Net incurrence of liabilities - Other liabilities - ESA2010 Code (F5 + F6 + F7 + F8),101
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2019Q3,Memo: Net derivative flows on debt interest swap contracts,-42
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2019Q3,General Government transactions - Seasonally Adjusted Revenue - ESA2010 Code (TR),22177
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2019Q3,General Government transactions - Seasonally Adjusted Expenditure - ESA2010 Code (TE),21718
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2019Q3,General Government Seasonally Adjusted Surplus/Deficit - ESA2010 Code (B9),458
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2019Q4,General Government transactions - Revenue - ESA2010 Code (TR),27057
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2019Q4,General Government transactions - Revenue - Taxes and social contributions - ESA2010 Code ( D2 + D5 + D91 + D61),25107
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2019Q4,General Government transactions - Revenue - Taxes - ESA2010 Code (D2 + D5 + D91),20792
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2019Q4,General Government transactions - Revenue - Social contributions - ESA2010 Code (D61),4315
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2019Q4,General Government transactions - Revenue - Sales of goods and services - ESA2010 Code (P10),1445
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2019Q4,General Government transactions - Revenue - Investment income - ESA2010 Code (D4),191
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2019Q4,General Government transactions - Revenue - Current transfer revenue (excluding taxes) - ESA2010 Code (D7),199
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2019Q4,General Government transactions - Revenue - Capital transfer revenue (excluding taxes) - ESA2010 Code (D9N),116
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2019Q4,General Government transactions - Expenditure - ESA2010 Code (TE),23279
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2019Q4,General Government transactions - Expenditure - Expense - ESA2010 Code (Expense),22375
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2019Q4,General Government transactions - Expenditure - Compensation of employees - ESA2010 Code (D1),6114
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2019Q4,General Government transactions - Expenditure - Use of goods and services plus taxes payable - ESA2010 Code (P2 + D5 + D29),3359
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2019Q4,General Government transactions - Expenditure - Depreciation (consumption of fixed capital) - ESA2010 Code (P51c),1182
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2019Q4,General Government transactions - Expenditure - Interest (excluding FISIM) - ESA2010 Code (D41),1080
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2019Q4,General Government transactions - Expenditure - Subsidies - ESA2010 Code (D3),563
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2019Q4,General Government transactions - Expenditure - Social benefits - ESA2010 Code (D62 + D632),8623
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2019Q4,General Government transactions - Expenditure - Other current transfers - ESA2010 Code (D7),746
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2019Q4,General Government transactions - Expenditure - Capital transfers - ESA2010 Code (D9),709
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2019Q4,Net operating balance - ESA2010 Code  (NOB),4682
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2019Q4,Net acquisition of non-financial assets - ESA2010 Code (P5 + NP - P51c),904
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2019Q4,General Government Surplus/Deficit - ESA2010 Code (B9),3778
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2019Q4,Net acquisition of financial assets,-6941
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2019Q4,Net acquisition of financial assets - Debt instruments - ESA2010 Code (F2 + F3 + F4),-8652
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2019Q4,Net acquisition of financial assets - Equity and Investment Fund Shares - ESA2010 Code (F5),219
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2019Q4,Net acquisition of financial assets - Other financial assets - ESA2010 Code (F6 + F7 + F8),1493
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2019Q4,Net incurrence of liabilities,-10147
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2019Q4,Net incurrence of liabilities - Debt instruments - ESA2010 Code (F2 + F3 + F4),-10207
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2019Q4,Net incurrence of liabilities - Other liabilities - ESA2010 Code (F5 + F6 + F7 + F8),60
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2019Q4,Memo: Net derivative flows on debt interest swap contracts,-21
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2019Q4,General Government transactions - Seasonally Adjusted Revenue - ESA2010 Code (TR),22700
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2019Q4,General Government transactions - Seasonally Adjusted Expenditure - ESA2010 Code (TE),22051
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2019Q4,General Government Seasonally Adjusted Surplus/Deficit - ESA2010 Code (B9),649
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2020Q1,General Government transactions - Revenue - ESA2010 Code (TR),17931
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2020Q1,General Government transactions - Revenue - Taxes and social contributions - ESA2010 Code ( D2 + D5 + D91 + D61),16610
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2020Q1,General Government transactions - Revenue - Taxes - ESA2010 Code (D2 + D5 + D91),12648
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2020Q1,General Government transactions - Revenue - Social contributions - ESA2010 Code (D61),3963
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2020Q1,General Government transactions - Revenue - Sales of goods and services - ESA2010 Code (P10),1030
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2020Q1,General Government transactions - Revenue - Investment income - ESA2010 Code (D4),38
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2020Q1,General Government transactions - Revenue - Current transfer revenue (excluding taxes) - ESA2010 Code (D7),154
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2020Q1,General Government transactions - Revenue - Capital transfer revenue (excluding taxes) - ESA2010 Code (D9N),99
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2020Q1,General Government transactions - Expenditure - ESA2010 Code (TE),21564
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2020Q1,General Government transactions - Expenditure - Expense - ESA2010 Code (Expense),20746
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2020Q1,General Government transactions - Expenditure - Compensation of employees - ESA2010 Code (D1),6098
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2020Q1,General Government transactions - Expenditure - Use of goods and services plus taxes payable - ESA2010 Code (P2 + D5 + D29),3005
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2020Q1,General Government transactions - Expenditure - Depreciation (consumption of fixed capital) - ESA2010 Code (P51c),1256
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2020Q1,General Government transactions - Expenditure - Interest (excluding FISIM) - ESA2010 Code (D41),1037
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2020Q1,General Government transactions - Expenditure - Subsidies - ESA2010 Code (D3),514
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2020Q1,General Government transactions - Expenditure - Social benefits - ESA2010 Code (D62 + D632),7515
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2020Q1,General Government transactions - Expenditure - Other current transfers - ESA2010 Code (D7),974
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2020Q1,General Government transactions - Expenditure - Capital transfers - ESA2010 Code (D9),346
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2020Q1,Net operating balance - ESA2010 Code  (NOB),-2815
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2020Q1,Net acquisition of non-financial assets - ESA2010 Code (P5 + NP - P51c),818
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2020Q1,General Government Surplus/Deficit - ESA2010 Code (B9),-3633
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2020Q1,Net acquisition of financial assets,4098
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2020Q1,Net acquisition of financial assets - Debt instruments - ESA2010 Code (F2 + F3 + F4),6485
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2020Q1,Net acquisition of financial assets - Equity and Investment Fund Shares - ESA2010 Code (F5),-16
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2020Q1,Net acquisition of financial assets - Other financial assets - ESA2010 Code (F6 + F7 + F8),-2371
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2020Q1,Net incurrence of liabilities,10584
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2020Q1,Net incurrence of liabilities - Debt instruments - ESA2010 Code (F2 + F3 + F4),10224
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2020Q1,Net incurrence of liabilities - Other liabilities - ESA2010 Code (F5 + F6 + F7 + F8),360
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2020Q1,Memo: Net derivative flows on debt interest swap contracts,-21
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2020Q1,General Government transactions - Seasonally Adjusted Revenue - ESA2010 Code (TR),20348
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2020Q1,General Government transactions - Seasonally Adjusted Expenditure - ESA2010 Code (TE),22390
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2020Q1,General Government Seasonally Adjusted Surplus/Deficit - ESA2010 Code (B9),-2042
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2020Q2,General Government transactions - Revenue - ESA2010 Code (TR),20253
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2020Q2,General Government transactions - Revenue - Taxes and social contributions - ESA2010 Code ( D2 + D5 + D91 + D61),18224
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2020Q2,General Government transactions - Revenue - Taxes - ESA2010 Code (D2 + D5 + D91),14780
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2020Q2,General Government transactions - Revenue - Social contributions - ESA2010 Code (D61),3444
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2020Q2,General Government transactions - Revenue - Sales of goods and services - ESA2010 Code (P10),874
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2020Q2,General Government transactions - Revenue - Investment income - ESA2010 Code (D4),862
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2020Q2,General Government transactions - Revenue - Current transfer revenue (excluding taxes) - ESA2010 Code (D7),182
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2020Q2,General Government transactions - Revenue - Capital transfer revenue (excluding taxes) - ESA2010 Code (D9N),111
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2020Q2,General Government transactions - Expenditure - ESA2010 Code (TE),26666
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2020Q2,General Government transactions - Expenditure - Expense - ESA2010 Code (Expense),25861
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2020Q2,General Government transactions - Expenditure - Compensation of employees - ESA2010 Code (D1),6188
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2020Q2,General Government transactions - Expenditure - Use of goods and services plus taxes payable - ESA2010 Code (P2 + D5 + D29),3740
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2020Q2,General Government transactions - Expenditure - Depreciation (consumption of fixed capital) - ESA2010 Code (P51c),1256
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2020Q2,General Government transactions - Expenditure - Interest (excluding FISIM) - ESA2010 Code (D41),947
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2020Q2,General Government transactions - Expenditure - Subsidies - ESA2010 Code (D3),2232
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2020Q2,General Government transactions - Expenditure - Social benefits - ESA2010 Code (D62 + D632),10110
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2020Q2,General Government transactions - Expenditure - Other current transfers - ESA2010 Code (D7),1003
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2020Q2,General Government transactions - Expenditure - Capital transfers - ESA2010 Code (D9),385
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2020Q2,Net operating balance - ESA2010 Code  (NOB),-5608
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2020Q2,Net acquisition of non-financial assets - ESA2010 Code (P5 + NP - P51c),806
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2020Q2,General Government Surplus/Deficit - ESA2010 Code (B9),-6413
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2020Q2,Net acquisition of financial assets,7891
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2020Q2,Net acquisition of financial assets - Debt instruments - ESA2010 Code (F2 + F3 + F4),8568
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2020Q2,Net acquisition of financial assets - Equity and Investment Fund Shares - ESA2010 Code (F5),-1147
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2020Q2,Net acquisition of financial assets - Other financial assets - ESA2010 Code (F6 + F7 + F8),470
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2020Q2,Net incurrence of liabilities,13195
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2020Q2,Net incurrence of liabilities - Debt instruments - ESA2010 Code (F2 + F3 + F4),12099
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2020Q2,Net incurrence of liabilities - Other liabilities - ESA2010 Code (F5 + F6 + F7 + F8),1096
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2020Q2,Memo: Net derivative flows on debt interest swap contracts,-26
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2020Q2,General Government transactions - Seasonally Adjusted Revenue - ESA2010 Code (TR),20775
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2020Q2,General Government transactions - Seasonally Adjusted Expenditure - ESA2010 Code (TE),26976
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2020Q2,General Government Seasonally Adjusted Surplus/Deficit - ESA2010 Code (B9),-6202
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2020Q3,General Government transactions - Revenue - ESA2010 Code (TR),19521
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2020Q3,General Government transactions - Revenue - Taxes and social contributions - ESA2010 Code ( D2 + D5 + D91 + D61),18045
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2020Q3,General Government transactions - Revenue - Taxes - ESA2010 Code (D2 + D5 + D91),14384
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2020Q3,General Government transactions - Revenue - Social contributions - ESA2010 Code (D61),3661
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2020Q3,General Government transactions - Revenue - Sales of goods and services - ESA2010 Code (P10),1020
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2020Q3,General Government transactions - Revenue - Investment income - ESA2010 Code (D4),146
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2020Q3,General Government transactions - Revenue - Current transfer revenue (excluding taxes) - ESA2010 Code (D7),197
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2020Q3,General Government transactions - Revenue - Capital transfer revenue (excluding taxes) - ESA2010 Code (D9N),113
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2020Q3,General Government transactions - Expenditure - ESA2010 Code (TE),26248
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2020Q3,General Government transactions - Expenditure - Expense - ESA2010 Code (Expense),24974
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2020Q3,General Government transactions - Expenditure - Compensation of employees - ESA2010 Code (D1),6050
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2020Q3,General Government transactions - Expenditure - Use of goods and services plus taxes payable - ESA2010 Code (P2 + D5 + D29),4088
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2020Q3,General Government transactions - Expenditure - Depreciation (consumption of fixed capital) - ESA2010 Code (P51c),1256
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2020Q3,General Government transactions - Expenditure - Interest (excluding FISIM) - ESA2010 Code (D41),974
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2020Q3,General Government transactions - Expenditure - Subsidies - ESA2010 Code (D3),1771
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2020Q3,General Government transactions - Expenditure - Social benefits - ESA2010 Code (D62 + D632),9504
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2020Q3,General Government transactions - Expenditure - Other current transfers - ESA2010 Code (D7),1015
